Rk,Squad,Country,League_Status,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,Attendance,Top Team Scorer,Goalkeeper
89,Watford,ENG,Relegated,19,38,8,10,20,36,64,-28,34,0.89,"15,353",Troy Deeney - 10,Ben Foster
96,Norwich City,ENG,Relegated,20,38,5,6,27,26,75,-49,21,0.55,"19,913",Teemu Pukki - 11,Tim Krul
4,Real Madrid,ESP,Stay,1,38,26,9,3,70,25,45,87,2.29,"45,833",Karim Benzema - 21,Thibaut Courtois
6,Barcelona,ESP,Stay,2,38,25,7,6,86,38,48,82,2.16,"54,223",Lionel Messi - 25,Marc-André ter Stegen
16,Atlético Madrid,ESP,Stay,3,38,18,16,4,51,27,24,70,1.84,"42,236",Álvaro Morata - 12,Jan Oblak
17,Sevilla,ESP,Stay,4,38,19,13,6,54,34,20,70,1.84,"25,016",Lucas Ocampos - 14,Tomáš Vaclík
26,Villarreal,ESP,Stay,5,38,18,6,14,63,49,14,60,1.58,"11,321",Gerard Moreno - 18,Sergio Asenjo
31,Real Sociedad,ESP,Stay,6,38,16,8,14,56,48,8,56,1.47,"21,204",Willian José - 11,Álex Remiro
32,Granada,ESP,Stay,7,38,16,8,14,52,45,7,56,1.47,"11,174",Carlos Fernández - 10,Rui Silva
41,Getafe,ESP,Stay,8,38,14,12,12,43,37,6,54,1.42,"8,000",Jaime Mata - 11,David Soria
44,Valencia,ESP,Stay,9,38,14,11,13,46,53,-7,53,1.39,"29,658",Maxi Gómez - 9,Jasper Cillessen
47,Osasuna,ESP,Stay,10,38,13,13,12,46,54,-8,52,1.37,"11,453",Ezequiel Ávila - 9,Sergio Herrera
48,Athletic Club,ESP,Stay,11,38,13,12,13,41,38,3,51,1.34,"28,039",Raúl García - 15,Unai Simón
54,Levante,ESP,Stay,12,38,14,7,17,47,53,-6,49,1.29,"13,196",Roger Martí - 11,Aitor Fernández
68,Valladolid,ESP,Stay,13,38,9,15,14,32,43,-11,42,1.11,"13,580",Sergi Guardiola - 8,Jordi Masip
69,Eibar,ESP,Stay,14,38,11,9,18,39,56,-17,42,1.11,"4,151",Fabián Orellana - 8,Marko Dmitrović
73,Betis,ESP,Stay,15,38,10,11,17,48,60,-12,41,1.08,"35,969",Loren Morón - 10,Joel Robles
80,Alavés,ESP,Stay,16,38,10,9,19,34,59,-25,39,1.03,"12,177","Lucas Pérez, Joselu - 11",Fernando Pacheco
82,Celta Vigo,ESP,Stay,17,38,7,16,15,37,49,-12,37,0.97,"11,995",Iago Aspas - 14,Rubén Blanco
84,Leganés,ESP,Relegated,18,38,8,12,18,30,51,-21,36,0.95,"7,539",Óscar Rodríguez Arnaiz - 9,Iván Cuéllar
91,Mallorca,ESP,Relegated,19,38,9,6,23,40,65,-25,33,0.87,"10,877",Ante Budimir - 13,Manolo Reina
93,Espanyol,ESP,Relegated,20,38,5,10,23,27,58,-31,25,0.66,"16,260","Raúl de Tomás, Wu Lei... - 4",Diego López
2,Paris S-G,FRA,Stay,1,27,22,2,3,75,24,51,68,2.52,"47,517",Kylian Mbappé - 18,Keylor Navas
12,Marseille,FRA,Stay,2,28,16,8,4,41,29,12,56,2,"52,805",Darío Benedetto - 11,Steve Mandanda
19,Rennes,FRA,Stay,3,28,15,5,8,38,24,14,50,1.79,"25,893",M'Baye Niang - 10,Edouard Mendy
20,Lille,FRA,Stay,4,28,15,4,9,35,27,8,49,1.75,"36,404",Victor Osimhen - 13,Mike Maignan
33,Nice,FRA,Stay,5,28,11,8,9,41,38,3,41,1.46,"19,225",Kasper Dolberg - 11,Walter Benítez
34,Reims,FRA,Stay,6,28,10,11,7,26,21,5,41,1.46,"12,932",Boulaye Dia - 7,Predrag Rajković
36,Lyon,FRA,Stay,7,28,11,7,10,42,27,15,40,1.43,"47,299",Moussa Dembélé - 16,Anthony Lopes
37,Montpellier,FRA,Stay,8,28,11,7,10,35,34,1,40,1.43,"14,147",Andy Delort - 9,Gerónimo Rulli
38,Monaco,FRA,Stay,9,28,11,7,10,44,44,0,40,1.43,"6,451",Wissam Ben Yedder - 18,Benjamin Lecomte
42,Strasbourg,FRA,Stay,10,27,11,5,11,32,32,0,38,1.41,"24,985","Adrien Thomasson, Ludovic Ajorque - 8",Matz Sels
45,Angers,FRA,Stay,11,28,11,6,11,28,33,-5,39,1.39,"9,825",Rachid Alioui - 6,Ludovic Butelle
50,Bordeaux,FRA,Stay,12,28,9,10,9,40,34,6,37,1.32,"23,430",Jimmy Briand - 7,Benoît Costil
51,Nantes,FRA,Stay,13,28,11,4,13,28,31,-3,37,1.32,"24,635","Ludovic Blas, Moses Simon - 5",Alban Lafont
59,Brest,FRA,Stay,14,28,8,10,10,34,37,-3,34,1.21,"13,713",Irvin Cardona - 6,Gautier Larsonneur
